"","Eq_Ind1","Eq_Ind2","VIX","LIBOR"
"198001",114.16,NA,NA,NA
"198002",113.66,NA,NA,NA
"198003",102.09,131,NA,NA
"198004",106.29,NA,NA,NA
"198005",111.24,NA,NA,NA
"198006",114.24,157.78,NA,NA
"198007",121.67,NA,NA,NA
"198008",122.38,NA,NA,NA
"198009",125.46,187.76,NA,NA
"198010",127.47,NA,NA,NA
"198011",140.52,NA,NA,NA
"198012",135.76,202.34,NA,NA
"198101",129.55,NA,NA,NA
"198102",131.27,NA,NA,NA
"198103",136,210.18,NA,NA
"198104",132.81,NA,NA,NA
"198105",132.59,NA,NA,NA
"198106",131.21,215.75,NA,NA
"198107",130.92,NA,NA,NA
"198108",122.79,NA,NA,NA
"198109",116.18,180.03,NA,NA
"198110",121.89,NA,NA,NA
"198111",126.35,NA,NA,NA
"198112",122.55,195.84,NA,NA
"198201",120.4,NA,NA,NA
"198202",113.11,NA,NA,NA
"198203",111.96,175.65,NA,NA
"198204",116.44,NA,NA,NA
"198205",111.88,NA,NA,NA
"198206",109.61,171.3,NA,NA
"198207",107.09,NA,NA,NA
"198208",119.51,NA,NA,NA
"198209",120.42,187.65,NA,NA
"198210",133.71,NA,NA,NA
"198211",138.54,NA,NA,NA
"198212",140.64,232.41,NA,NA
"198301",145.3,NA,NA,NA
"198302",148.06,NA,NA,NA
"198303",152.96,270.8,NA,NA
"198304",164.42,NA,NA,NA
"198305",162.39,NA,NA,NA
"198306",168.11,318.7,NA,NA
"198307",162.56,NA,NA,NA
"198308",164.4,NA,NA,NA
"198309",166.07,296.65,NA,NA
"198310",163.55,NA,NA,NA
"198311",166.4,NA,NA,NA
"198312",164.93,278.6,NA,NA
"198401",163.41,NA,NA,NA
"198402",157.06,NA,NA,NA
"198403",159.18,250.78,NA,NA
"198404",160.05,NA,NA,NA
"198405",150.55,NA,NA,NA
"198406",153.18,239.65,NA,NA
"198407",150.66,NA,NA,NA
"198408",166.68,NA,NA,NA
"198409",166.1,249.94,NA,NA
"198410",166.09,NA,NA,NA
"198411",163.58,NA,NA,NA
"198412",167.24,247.35,NA,NA
"198501",179.63,NA,NA,NA
"198502",181.18,NA,NA,NA
"198503",180.66,279.2,NA,NA
